Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Solicitudes voto CERA aceptadas,Total votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,¡TERUEL-EXISTE!/Votos,¡TERUEL-EXISTE!/Diputados,AHORA-CANARIAS/Votos,AHORA-CANARIAS/Diputados,ANDECHA/Votos,ANDECHA/Diputados,AUNACV/Votos,AUNACV/Diputados,AxSI/Votos,AxSI/Diputados,BNG/Votos,BNG/Diputados,C-21/Votos,C-21/Diputados,CAnda/Votos,CAnda/Diputados,CCa-PNC-NC/Votos,CCa-PNC-NC/Diputados,centrados/Votos,centrados/Diputados,CHA/Votos,CHA/Diputados,CONTIGO/Votos,CONTIGO/Diputados,CpM/Votos,CpM/Diputados,CUP-PR/Votos,CUP-PR/Diputados,DPL/Votos,DPL/Diputados,EAJ-PNV/Votos,EAJ-PNV/Diputados,EH-Bildu/Votos,EH-Bildu/Diputados,ELAK/Votos,ELAK/Diputados,ERC-SOBIRANISTES/Votos,ERC-SOBIRANISTES/Diputados,ERPV/Votos,ERPV/Diputados,EXTREMADURA-UNIDA/Votos,EXTREMADURA-UNIDA/Diputados,FE-de-las-JONS/Votos,FE-de-las-JONS/Diputados,FIA/Votos,FIA/Diputados,GBAI/Votos,GBAI/Diputados,I.Fem/Votos,I.Fem/Diputados,IZAR/Votos,IZAR/Diputados,IZQP/Votos,IZQP/Diputados,JxCAT-JUNTS/Votos,JxCAT-JUNTS/Diputados,MDyC/Votos,MDyC/Diputados,MES-COMPROMIS/Votos,MES-COMPROMIS/Diputados,MES-ESQUERRA/Votos,MES-ESQUERRA/Diputados,NA+/Votos,NA+/Diputados,NC-CCa-PNC/Votos,NC-CCa-PNC/Diputados,P-LIB/Votos,P-LIB/Diputados,PDSJE/Votos,PDSJE/Diputados,PH/Votos,PH/Diputados,PPSO/Votos,PPSO/Diputados,PRC/Votos,PRC/Diputados,PREPAL/Votos,PREPAL/Diputados,PYLN/Votos,PYLN/Diputados,RISA/Votos,RISA/Diputados,SOLIDARIA/Votos,SOLIDARIA/Diputados,SOMOS-REGION/Votos,SOMOS-REGION/Diputados,UDT/Votos,UDT/Diputados,UIG-SOM-CUIDES/Votos,UIG-SOM-CUIDES/Diputados,UNIDOS-SI-ACPS-DEf/Votos,UNIDOS-SI-ACPS-DEf/Diputados,UNION-REGIONALISTA/Votos,UNION-REGIONALISTA/Diputados,UPL/Votos,UPL/Diputados,VOX/Votos,VOX/Diputados,XAV/Votos,XAV/Diputados,VERDES/Votos,VERDES/Diputados,Cs/Votos,Cs/Diputados,EB/Votos,EB/Diputados,PODEMOS-GUANYEM/Votos,PODEMOS-GUANYEM/Diputados,MAS-PAIS/Votos,MAS-PAIS/Diputados,PACMA/Votos,PACMA/Diputados,PSOE/Votos,PSOE/Diputados,PUM+J/Votos,PUM+J/Diputados,RECORTES/Votos,RECORTES/Diputados,PP/Votos,PP/Diputados,PCE/Votos,PCE/Diputados
Región de Murcia,30,Murcia,1478509,1685,0,0,1028480,0,1028480,0,719842,712454,707224,5230,7388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2303,0,0,0,0,0,0,0,0,0,0,0,199440,3,0,0,0,0,52967,0,0,0,62897,1,13287,0,6947,0,176426,3,582,0,847,0,188870,3,1475,0
Comunidad Foral de Navarra,31,Navarra,647554,976,0,0,485525,0,485525,0,336056,332404,328965,3439,3652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56387,1,0,0,0,0,0,0,0,0,0,0,0,0,12622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98448,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18656,0,0,0,0,0,0,0,0,0,55191,1,0,0,2203,0,83242,1,910,0,928,0,0,0,378,0
Galicia,32,Ourense,309293,542,0,0,259184,0,259184,0,170551,168498,166843,1655,2053,0,0,0,0,0,0,0,0,0,0,10143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12956,0,0,0,0,0,6200,0,0,0,13342,0,0,0,983,0,56056,2,287,0,191,0,66538,2,147,0
Castilla y León,34,Palencia,162035,324,0,0,133954,0,133954,0,96490,95243,94231,1012,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13768,0,0,0,0,0,5885,0,0,0,7650,0,0,0,570,0,31668,1,207,0,249,0,34051,2,105,0
Galicia,36,Pontevedra,941772,1333,0,0,772786,0,772786,0,524626,517572,512466,5106,7054,0,0,0,0,0,0,0,0,0,0,38836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37610,0,0,0,0,0,23620,0,681,0,80342,1,10076,0,4454,0,164910,3,429,0,746,0,150294,3,468,0
Castilla y León,37,Salamanca,331473,684,0,0,274808,0,274808,0,195653,193159,191188,1971,2494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,34883,1,0,0,0,0,16682,0,0,0,13357,0,0,0,908,0,56710,1,254,0,176,0,67249,2,194,0
Canarias,38,Santa Cruz de Tenerife,1018510,1307,0,0,755625,0,755625,0,466564,462127,458750,3377,4437,0,0,911,0,0,0,0,0,0,0,0,0,0,0,0,0,76022,1,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53298,1,0,0,1304,0,22854,0,413,0,64420,1,6543,0,6121,0,132162,2,314,0,539,0,93156,2,462,0
Castilla y León,40,Segovia,153342,319,0,0,116137,0,116137,0,86079,84666,83666,1000,1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14525,1,0,0,0,0,6828,0,0,0,7834,0,0,0,459,0,25090,1,132,0,189,0,27982,1,240,0
Andalucía,41,Sevilla,1939887,2560,0,0,1512470,0,1512470,0,1068939,1051173,1037382,13791,17766,0,0,0,0,0,0,0,0,5160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188500,2,0,0,0,0,83280,1,0,0,152812,2,22182,0,12017,0,380075,5,1378,0,1438,0,187651,2,2889,0
Castilla y León,42,Soria,88600,255,0,0,69906,0,69906,0,46899,46063,45344,719,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6221,0,0,0,0,0,2627,0,0,0,3478,0,0,0,200,0,15925,1,89,0,94,0,15172,1,87,0
Cataluña,43,Tarragona,795902,1011,0,0,556273,0,556273,0,386083,383420,380712,2708,2663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21858,0,0,0,0,0,0,0,0,0,98326,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,51180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31030,0,0,0,0,0,22639,0,0,0,46403,1,0,0,4566,0,73218,2,350,0,543,0,29765,0,457,0
Aragón,44,Teruel,134572,333,0,0,102587,0,102587,0,74296,73765,73364,401,531,19696,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,9328,0,0,0,0,0,3710,0,0,0,3933,0,0,0,208,0,18777,1,34,0,0,0,17473,1,137,0
Castilla - La Mancha,45,Toledo,687391,926,0,0,514099,0,514099,0,367585,362446,359794,2652,5139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85872,2,0,0,0,0,24760,0,0,0,34648,0,0,0,2664,0,115949,2,650,0,541,0,94214,2,496,0
Comunitat Valenciana,46,Valencia / València,2547986,3107,0,0,1907235,0,1907235,0,1396558,1384398,1373629,10769,12160,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2316,0,1064,0,0,0,0,0,245108,3,0,0,2616,0,106312,1,0,0,190729,2,0,0,15299,0,374284,4,1045,0,1570,0,306041,4,1119,0
Castilla y León,47,Valladolid,519851,769,0,0,418789,0,418789,0,313014,309690,306561,3129,3324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,56110,1,0,0,0,0,26743,0,0,0,33938,0,0,0,2068,0,93844,2,570,0,582,0,91534,2,508,0
Castilla y León,49,Zamora,174549,371,0,0,147935,0,147935,0,100349,98848,97650,1198,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,16944,1,0,0,0,0,6754,0,0,0,6897,0,0,0,410,0,32406,1,136,0,124,0,33128,1,220,0
Aragón,50,Zaragoza,954811,1435,0,0,715414,0,715414,0,514697,510350,505372,4978,4347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91978,1,0,0,0,0,46645,0,1925,0,57398,1,24052,0,3576,0,157420,3,477,0,834,0,119421,2,738,0
